,review,rating
43,Robotul este bun cu multiple funcționalități Motorul se aude bine nu se chinuie să își facă treabă are o aerisire buna Accesoriile se montează extrem de ușor        Am întâmpinat ceva probleme la operația de frămîntat adică este mai bine să folosești maxim un kg  de faina Daca folosești mai mult  aluatul trece peste protecția accesoriului de frămîntat         Este o achiziție buna mai ales dacă îl cumperi și la reducere,1
44,Aici puteti vedea un film 2 7k 60 fps linear: https://youtu be/iBJG0NpVdRc,1
45,Sunet clar neasteptat de bine se aude Basul bun si inaltele Contureaza vocea foarte bine Putin se aude in fundal cand e oprita muzica Merita banii!!!!Recomand!!!,1
46,"Monitorul functioneaza perfect  este destul de mare pentru 23 5""  imaginea e ok  Se potriveste bine pentru o persoana inalta(1 90)  Le fel de util pentru programare cat si pentru gaming  Nimic negativ de zis",1
47,Am achizitionat acest produs pe data de 07 07 2020 si serviciul de instalare in 7-10 zile lucratoare  Astazi  15 07 2020 a venit echipa de montaj care l-a montat in doar o ora  Foarte multumit  felicitari Altex si firmei de instalare din Pitesti ! Un singur minus  daca e sa zic asa  baietii de la montaj nu aveau masti  Dar nu e problema  le-am dat eu,1
48,Genial joc  Onimusha meets Ninja Gaiden meets Dark Souls,1
49,Nu am ce sa-i reprosez acestui ventilator  îsi face treaba pentru care a fost produs  ocupa putin spatiu in sufragerie,1
50,Foarte ok  Pentru 180 de lei  240 GB mi se pare decent  Se mișcă repede  de N ori mai repede decât un hdd cu 5400 rpm,1
51,Ezezezez,1
52,Seria Assassin's Creed a fost uimitoare dar ii lipseau lucruri esentiale pentru un assassin dar acum multumita noi generatii de console a aparut AC Unity care este exact ceea ce speram de la un joc AC  Cu abilitatea de ati costumiza assassinul si faptul ca pot juca in coop pot spune ca este primul joc AC adevarat  De aceea va fi si primul pe care il voi cumpara  Multumesc Altex pentru pretul extrem de avantajos!,1
53,asdasd,1
54,Un produs foarte bun  usor de folosit  extrem de util intr-o bucatarie  Recomand!  Acest review a fost postat initial pe site-ul Philips,1
55,Pana acum de când l-am luat sunt mulțumit de el ! Culorile sunt placute iar meniul televizorului este plăcut de utilizat!,1
56,Foarte tare,1
57,Tastatura se comporta exceptional de bine  are taste luminate individual si pot fii re-mapate  La acest pret nu stiu ce alt ceva ai mai putea gasii pe piata!,1
58,Un produs foarte eficient care nu deterioreaza materialul la calcare,1
59,Se aud bine   microfon bun   confortabile ,1
60,Este un monitor foarte bun cu pannel IPS  culori pe 10bit 75hz refresh rate si amd freesync   foarte multuit de el isi merita toti banii! Calitatea imaginii foarte buna  Meniul monitorului foarte usor de navigat cu o gramada de setari  conectivitate buna pe HDMI si DP   vine cu cablu HDMI in cutie ,1
61,Am cumparat aceasta masina de tocat carne pentru cuplul hoxagonal metalic  Este puternica si toaca fara emotii orice  Sucul de rosii iese perfect!,1
62,De obicei  eu nu las comentarii dar aceste măști sunt pur și simplu wow   În primul rând  se mulează perfect pe nas  se așează frumos pe față  nu sunt găuri laterale uriașe  Sunt comode  elasticul nu strânge dar nici nu e prea larg   Ce-mi place cel mai mult este cât de bine se poate respira în ele  Le-am purtat și 7 ore  inclusiv afară pe caniculă  Puțin s-au umezit  dar față de altele  nu foarte mult  Sunt alegerea perfectă din oricâte măști am luat - și am luat multe până acum,1
63,Un router bun raport calitate pret  Il am de cateva zile si merge perfect  Configurarea a fost simpla si semnalul este bun intr-un apartament de 3 camere,1
64,E excelent  Am ramas uimit ca nu are nici un pic de noise pe fundal  Se aude foarte  foarte bine  are design frumusel (husa din burete e bestiala)  trepied reglabil si cablul e suficient de lung ca sa il pui oriunde vrei pe birou  Cea mai importanta e calitatea audio  care asa cum am zis  m-a uimit  Recomand cu caldura!,1
65,Care este de fapt produsul? Ef-s 55-250 IS STM? Pentru că în descrierea detaliată scrie de Ef-s 55-250 IS II     ACEST PRODUS ESTE?  https://www canon ro/lenses/ef-s-55-250mm-f-4-5-6-is-stm-lens/,1
66,Super produs!Usor de folosit f bun  pt  calcat camasi si pantaloni!Nu-ti mai faci griji daca il uiti in priza!,1
67,Acest incarcator de 12w este cea mai buna alternativa a celui type c de 18w de 350-370 lei Incarca iph11 la 100% in 2 ore  avand in vedere ca o incarcare cu cel clasic de 5w care vine in cutia telefonului dureaza 4 ore,1
68,Intr-adevar  foarte ieftin si foarte bun  Functioneaza foarte bine pe Windows 7,1
69,Foarte bun! Recomand cu drag și prețul este ok!                   !!!!!!!!!Recomand!!!!!!!!!!!!!!!!!,1
70,Produsul este excelent si la un preț accesibil  Îl am de 3 ani si funcționează perfect  Mulțumesc Electrolux  aveți produse minunate!,1
71,Imi place foarte mult  L-am luat la reducere la Black Friday 2019 cu 560 lei  Il folosesc de jumatate de an si sunt foarte multumita de el  Calca foarte rapid si imi este de mare ajutor mai ales cand vreau sa clacl in 2 minute o fusta sau o rochie  Nu consuma nici pe departe atat de mult timp ca un fier de calcat clasic  Nu recomand pentru camasi  dar pentru rochii  fuste  tricouri  pulovere este foarte bun,1
72,Cumpărături de la Altex Dețin un Samsung A 51 am cumpărat acest model de Motorola la promoție 900 lei sunt extrem de surprins de performanța sa în afară de 128 Gb Rom al lui Samsung îl cam bate la toate capitolele acest Motorola Extrem de rapid fără lag numai de bine toate Se pare că Bradul Motorola revine  Apropo păcat că nu are și căști audio la pachet husă de silicon transparentă are Numai de bine bravo Motorola,1
73,se poate adapta la muulte TV-uri inclusiv la finlux dacă are suport vesa  problema poate fi distanța între perete și TV care poate fi mică și mufele dacă-s poziționate perpendicular pe TV să nu aibă loc,1
74,Headset-ul este foarte bun si se aude calitativ  si cu si fara 7 1 surround Ingame castiile isi fac treaba  pot auzii pasii foarte clar si pot deosebii directia din care vin iar daca nu am chef sa-mi aprind poxele  pot da sunetul la maxim ca sa am sunet de fundal in camera Cat despre microfon  se aude genial  foarte clar  iar daca activez optiunea de cancel background noise  poate sa dea vecinu linistit cu bormasina ca nu se mai aude la microfon  nici daca vorbeste cineva langa mine Calitate Razer 🤘🏻,1
75,Nu l-am primit inca (lipsa stoc momentan)  dar cred ca nu vor fi problema !,1
76,Isi merita banii nota 10,1
77,O am de mai mult de un an si se comporta extraordinar ! Singurul punct slab daca se foloseste cooler cu prinderea cea veche + un cooler grea se cam indoaie PCB ul    AIO este solutia,1
78,Un produs de calitate cu un design nemaipomenit raport  calitate pret foarte bun recomand cu incredere!,1
79,ecranul este de foarte buna calitate  dupa culori ai spune ca e de tip ips  m-am convins ca e tn doar dupa ce am privit imaginea de jos in sus  constructie solida  marginea destul de groasa  asa  ca pentru un monitor pe care il mai muti de colo colo fara grija ca il poti strica  sunt foarte multumit de achizitie,1
80,Este foarte bine silentioasa! Cu Intel Core i5  ruleaza toate jocurile noi pe High - Very High - Ultra in FullHD 1080p 60fps  RECOMAND,1
81,Cand se baga acest produs iara pe stoc???? Va rog sa imi zica cinevaa !!!!!!!! Vreau sa il iau urgent,1
82,Am ramas placut surprins de acest tv in special claritatea imaginii  pe parte de smart e foarte rapid  foarte bun produs,1
83,Super jocul merita luat acest pachet de la Altex pentru ca iesi mai ieftin decat ai luat separat de altundeva  Recomand pasionatilor de simulatoare,1
84,Telefonul se misca greu!,1
85,Am vrut sa renunt la cartusele clasice de cerneala  Acum nu cred ca va mai trebui sa cumpar cerneala prea curand  Vine in pachet cu 2 sticlute de cerneala neagra care imprima impreuna circa 15000 de pagini si 3 sticlute pentru color  cyan  magenta si yellow  care imprima fiecare circa 8000 de pagini  Super multumit!,1
86,Am achizitionat cafetiera tefal saptamana trecuta  deoarece se stricase cea veche (n-am mai asteptat BLACK FRIDAY )  Foarte multumit livrarea a fost foarte  rapida si corecta iar produsul este de calitate  Recomand acest produs  Este un produs la indemana oricui pretul nefiind prea mare  Pe alte site-uri sunt mult mai ridicate preturile,1
87,Promotia este valabila si in magazinele altex ?,1
88,Cumparat la oferta 3995 lei  Dupa cateva zile de utilizare sunt fff multumit  Display-ul este de la LG,1
89,Arata super  e ieftin  rgb merge perfect  materiale calitative am sa mai cumpar de la marvo eu care am mouse si casti logitech  NU e dezamagire si e perfect pentru un birou mediu,1
90,un produs excelent  te barberesti usor  Imi place ca pot sa ma barberesc si pe uscat   Inainte ma iritam foarte tare de la lamele simple    am incercat foarte multe tipuri de lame   dar de cand am achizitionat acest produs    nu mai am parte de iritatii    Acest review a fost postat initial pe site-ul Philips,1
91,M - am decis greu pana am ales această plita si ma declar foarte încântată de alegerea făcută  deoarece o pot folosi la alegere dacă folosesc gazul sau partea electrică  Indiferent daca nu am gaz pot folosi partea electrică și invers  Se curăță imediat  are un design modern   Am înregistrat  factura la Electrolux si am primit extragarantie 5 ani  Recomand cu incredere,1
92,Impresionant  recunosc ca m-a lasat fara cuvinte felul in care arata,1
93,Cel mai bun fier de calcat! Il recomand! Este cea mai buna achizitie!  Acest review a fost postat initial pe site-ul Philips,1
94,Un concept inovator  dar foarte util in bucataria mea!,1
95,Raport calitate preț deosebit Luminozitate mare leduri Samsung baterie de a durata senzor foarte fin funcționează numai noaptea bine izolat împotriva intemperiilor Recomand cu căldură,1
96,E bun pentru masuratori orientative  Poti pune in evidenta si arata medicului eventuale aritmii  Pasii ii numara aiurea  Am avut ceva asemanator inainte  un smartwatch N58  E cam acelasi lucru doar ca nu mai are buton fizic  Ca si aplicatie puteti folosi si Wearheart daca va place mai mult  Aplicatia Oruning ar putea fi imbunatatita si eliminat acel beep enervant si mult prea tare (nu poate fi oprit) cand faci un ekg de pe aplicatie  Sticla  sau sper sa aiba folie (asa pare  suna a plastic) se zgarie usor,1
97,Fiecare dimineata este o sarbatoare decand beau cafea cu un pic de lapte facut de acest espressor  Iar sistemul de extragere a aromei functioneaza perfect  adica el stoarce aroma din cafea pana la ultima picatura  Pot sa zic ca este in inima cafelei  Sunt foarte multumit de acest produs  La acest pret nu este nimic asemanator  Recomand 100%,1
98,Pachetul complet pentru un tv cu o imagine extrem de buna cu un design superb completat de dolby vision si dolby atmos care te introduc in atmosfera de cinema  Clar recomand !!,1
99,Am cumparat aceasta periuta in speranta ca imi va oferi tot ce promite in reclame si pot spune ca m a surprins placut  Este prima periuta electrica pe care o cumpar si ma bucur ca am decis sa incerc curata delicat dintii si mult mai eficient decat cea normala,1
100,Nu am cumparat produsul dar  vreau sa stiu daca are pixeli morti!,1
101,Cea mai tare periuta  Sunt multumita de cum curata dintii si iti ofera o respiratie proaspata de lunga durata  O recomand cu incredere merita sa faci o asa investitie,1
102,Am cumparat husa si in ziua in care am montato  am scapat telefonul  din fericire pot spune ca telefonul nu patit nimic  Imi place cum se simte si cum arata,1
103,Am achizitionat acest modulator FM insa claritatea lasa putin de dorit  se aude un fasait continuu intre piese  uneori chiar in timpul pieselor (din punctul meu de vedere mai bine se aude la radio)   L-am testat pe mufa jack si pe micro USB  functioneaza normal dar cu mici interferente   Aspect placut  display maricel  afisaj placut  usor de utilizat   Il recomand doar daca nu aveti alta alternativa de a asculta muzica de pe stick sau AUX,1
104,De ceva timp tot ziceau ca vor sa-l faca free to play  cand or sa-l faca asa mai mult ca sigur o sa joc si eu pe original  dar  pana atunci o sa raman tot pe servere private  nu multi sunt cei care pot sa dea 50 ron pe luna pentru a-l putea juca  e un joc de nota 10+ (o sa deveniti dependenti de el cu timpul)  merita toti bani  as vrea sa-l joc pe original  dar nu am banii necesari pentru a face asta  CHEERS!,1
105,Nimic de reprosat  daca n-ai asteptari de telefon de 3000 de lei de la unul care costa 900  Baterie  display  camere  viteza  software  incarcare  totul absolut ok  E un mid-ranger de incredere cu soft curat(nu ca EMUI-ul Xiaomi)   P40 lite-ul Huawei l-ar bate daca ar avea servicii google  dar nu mai e cazul  Iar solutiile de instalare a acestora nu sunt perfecte    Recomand cu caldura  in acest buget!,1
106,Cu ajutorul espressorului Infinissima cafeua are alt gust! Am uitat de grija timpului îndelung petrecut pentru a prepara cafeaua  Mai mult decât atât sortimentele de arome sunt numeroase și absolut delicioase  Plănuiam să îmi achiziționez un astfel de espressor  dar nu puteam să mă hotărăsc  deoarece Altex are o gamă variată  Am ales Infinissima și știu sigur că am luat cea mai bună decizie! 😍,1
107,"Am achizitionat acest monitor astazi  sunt complet surprins de acesta  La pretul sau este monitorul perfect  Dimensiunea de 22"" este mai mult decat suficienta  iar culorile sunt pline de viata si extrem de frumoase si placute la vedere  Este un monitor finut  foarte subtire cu un aspect extrem de placut  Recomand cu cea mai mare caldura !",1
108,Recomand produsul  L-am descoperit acum 1 an si l-am folosit cel putin 1 data pe zi  As vrea sa inlocuiesc oala  a inceput sa dea semne de uzura  De unde as putea sa cumpar una noua?  Acest review a fost postat initial pe site-ul Philips,1
109,O imprimanta care reduce foarte mult costurile de reincarcare  Recomand!,1
110,Am acest pc de 2 zile  Am instalat pe el gta v  fortnite rocket league  cs go  fivem  league of legends  etc  Merg toate din jocurile de sus  Fortnite cu graficile pe medium Gta cu graficile pe medium Va recomand acest pc,1
111,Componentele acestui PC sunt foarte bune  dar din pacate are cam putin spatiu de stocare  il am de o saptamana si chiar a dat rezultate desii nu vine cu carcasa din imagine carcasa lui (Carcasa MYRIA MY8737) este foarte frumos iluminata si are un sistem de racire destul de bun  in gaming nu am nicio problema  recomand cu mare incredere acest PC,1
112,Este un fierbator foarte bun Recomand,1
113,Recomand acest produs usor de utilizat (chiar si pentru incepatori)  Raportul calitate/pret este rezonabil,1
114,Sincer sunt foarte mulțumit de calitatea  cat şi de simlpicitatea de folosire a acestui router  în plus prețul redus îl face un produs excelent  fiind unul de buget  dar foarte bun ca specificații şi după părerea mea oricine îl poate instala singur la el acasă  Aplicația cu care vine este foarte uşor de folosit şi are nişte opțiuni foarte utile,1
115,Monitoru asta se vede ok si este foarte smooth in jocuri se vede mult mai bine cu toate graficile pe low dar pe Yt sau alte site-uri meh   Mai are niste probleme cu HDMI-ul nu stiu daca nu am facut eu ceva bine sau nu inca dar se deschide greu cand aprind pc-ul in rest imi place plus ca mai are alte multe functii,1
116,Masa de calcat este foarte stabila  iar suprafața de calcat este mare  Este chiar de ajutor! Recomand,1
117,Functioneaza perfect  chiar ne miram de cat de buna este! O programam seara si dimineata miroase a cafea toata casa  o pastreaza calda  cafeaua n-are gust de plastic  e foarte buna  nu pica daca luam cana  n-are niciun cusur!,1
118,resigilat cu baterii lasate in aparat se scurse acidul in el  fara sa afecteze placa electronica l-am desfacut curatat acidul cu servetel umed  biletel de la cel care a facut retur scria  nu pride posturi aparatul functionaza normal,1
119,Un aparat de tuns corporal foarte util si foarte bun calitativ,1
120,SUPERStick,1
121,Se misca foarte bine  iar bateria a tinut aproximativ 5 zile  intr-adevar n-a fost utilizat foarte mult  Nu are Google play dar se pot descarca aplicatii fara nici o problema,1
122,Un mouse super interesant cu un potential mare  Personal  sunt foarte multumit de el si chiar merita sa fie achizitionat  Rar mai gasesti un mouse la o asemenea suma mica  care sa aiba calitati asa de bune! V-il recomand! I-am facut si un mi UNBOXING : https://youtu be/G5uXNgQXHRQ,1
123,Un mouse perfect  il am de un an si isi face datoria extrem de bine  butoanele programabile m au ajutat foarte mult in jocuri  Mouse ul pentru mine se tine destul de bine in mana  Contra: cele mai multe modori de iluminare din driver se misca laggy,1
124,De ce nu l pot juca in full screen ? Jocul nu mi se vede pe tot ecranul ,1
125,O baterie foarte bună  Recomand,1
126,O am de câteva zile  aspectul exterior al bateriei este unul foarte placut  îți încarcă telefonul foarte repede și nu regret ca am luat o! Recomand!!,1
127,Recomand cu mare drag o statie foarte buna !!Si calcatul este o placere!,1
128,Lumina este alba  este legal sa le montezi si la exterior (pe pozitie sau placuta de inmatriculare)   Nu este la fel de puternic si de alb ca un led dar la pretul care il are merita,1
129,Ideale pentru intretinerea aparatului  Durabilitate intre 3-4 luni  Se schimba usor,1
130,Azi l-am cumpărat se aude excelent si forma este foarte frumoasă zici ca este un produs care costa mult mai mult     PE SCURT RECOMAND CU INCREDERE,1
131,am produsul de o luna merge impecabil bateria tine 2 zile si ceva singurul lucru ce nu imi place e ca este un pic cam greu in rest nimic de reprosat,1
132,eu il am montat pe un focus 2006 fara iesire de woofer la consola si pot zice ca e super nu se aude afara nu am nevoie e de ajunj ca se aude in masina si faza este ca tremura tablea pe ea asa ca Flavius nu stiu ce fel de consola ai sau ce montaj iai facut,1
133,Recomand espressorul pentru gustul desavarsit al cafelei si pentru cremozitatea bauturilor cu lapte  Daca esti un impatimit al bauturilor pe baza de lapte  nu ezita in a il achizitiona  merita din plin,1
134,Excelent! Cumparat la reducere cu 28 lei  Cel mai bun pret! Multumesc  Altex!,1
135,144 Hz  full hd   ecran perfect pentru gaming  super pret,1
136,Pro: Performante excelente  se deschide foarte rapid Contra: Are doar ssd  recomandate sa-i mai pui si un hdd Cam zgomotoase venilatoarele in timpul jocului dar cu casti se rezolva Trebuie cooler neaparat  se încălzește destul de repede (doar cand te joci  cand faci altceva e ok temperatura) In concluzie  dacă vrei ca toate cele de sus sa nu se întâmple ia ti un PC  dacă nu te poti obisnui si cu laptopul,1
137,ecran tactil  viteza foarte mare de printare  in doar cateva secunde   tava alimentare 50 coli  adf  conectare usoara si rapida la wi-fi,1
138,E fenomenal e un Very Best By va recomand cu caldura ,1
139,Am Pc-ul de doua saptamani si pot spune ca nu am intampinat nicio problema  Toate jocurile testate merg in 60+ fps: GTA V  PUBG  Just Cause 4  Need For Speed Heat   Singurul minus ar fi ca trebuie sa iti mai iei un HDD deoarece memoria de 240GB nu ajunge si ai doar un slot pentru SSD,1
140,O statie de calcat pe care o recomand tuturor! Fierul este usor  isi seteaza singur temperatura in functie de materialul calcat  are putere mare de presare datorita aburului abundent,1
141,Am achiziționat această masina de tocat de la magazinul Altex din orașul meu si pot spune ca sunt foarte multumit de ea  Recomand aceasta masina de tocat tinand cont de raportul pret-calitate,1
142,Aparatul face cafea foarte buna  Cat despre calitatea materialelor nusunt in masura sa imi dau cu parerea,1
143,La calitate-pret oferă prea multe facilități!😁 Are tot ce ți-ai putea dori și funcționează perfect!,1
144,L-am cumparat acum 3 saptamani  L-am utilizat pentru laminare A3 si A4  Il recomand cu incredere,1
145,Mi-am dorit un storcator mai mic  sa nu ocupe spatiu  Imi place cum face sucul  se spala usor  usor de folosit  Recomand,1
146,Bună  aș vrea să știu dacă  pe acest telefon  se pot inslata Google Classroom și Meet?   Mulțumesc anticipat!!,1
147,Super Sistem☑️⭐⭐⭐⭐⭐,1
148,Nu știi ce-i cu tine!!! E o super mașină!!! Ce n-aș da să o mai prind la 300 lei                        ,1
149,Sunt multumita de produs  este ușor de utilizat și de curățat  Raport calitate preț   ok  (Achizitionat in luna mai),1
150,Produsul este excelent  Il am de aproape 2 ani de zile si nici bateria nu i-am schimbat-o  Recomand cu incredere mai ales ca raportul calitate - pret este foarte bun  Cui face figuri la un cantar de 50 de lei  ii recomand sa dea 200+ lei pe un cantar si sa nu se mai planga de km facuti  ca incurca kg cu lb etc  Va dati nemultumiti la un produs de 50 de lei  La banii astia ziceti mersi ca ati ajuns cu el acasa,1
151,Pe posturile HD se vede foarte bine  Pe celelalte se vede bine  dar parca luminozitatea este prea mare  daca reduc luminozitatea pe cele HD se vede cam intunecat  Sunetul mi se pare decent  dar nu l-am testat suficient   Cel mai mare inconvenient e ca nu poti ordona posturile  poti doar sa le stergi sau sa le omiti dar numarul lor va ramane alocat (de ex pe 1 ai tvr  pe 2 protv si pe 3 prima  daca stergi/omiti protv cand apesi 2 nu se intampla nimic si 3 te duce la prima),1
152,Chiar functioneaza chiar daca la prima conectare mi-a dat emotii  dar cauza a fost faptul ca am folosit-o cu computerul deja pornit  Dupa restart si-a facut treaba adaptorul,1
153,Este foarte buna tastatura!!! va o recomand cu incredere! Calitate si pret de buget!!!  Iluminare RGB foarte buna,1
154,Foarte calitativ  construit bine  se aude bine  se conecteaza repede  are bluetooth 4 2  Deocamdata multumit,1
155,Imi place  performant si frumos eclipseaza cu inovatiile aduse de Huawei  mereu scot ceva interesant  Bravo lor,1
156,"Se pare ca domnii ce administreaza acest site nu permit recenziile rele de vreme ce nu mi a fost postata cea referitoare la acest produs  desi nu a fost folosit nici un cuvant obscen :) materialul folosit nu este inox (asa cum scria in descrierea din magazin si cum a spus si un angajat)  se zgarie foarte usor desi am sters o doar cu laveta  se curata usor  dar trebuie lustruita mult timp ca sa nu ramana patata  O am de 4 luni si un pic si deja a sarit "" inoxul"" de pe ea  Arzatoarele sunt bune  Nu recomand",1
157,Este decent!,1
158,Este un blender foarte bun  pe care il recomand tuturor  Isi face treaba foarte bine si rapid   Recomand,1
159,Sunt super multumit de acest cartus! Il recomand cu maxima incredere!,1
160,Raportul preț- calitate e imbatabil  Produsul oferă maximum din ceea ce ți-ai dori la acest nivel  Reglajele multiple folosite cu cap  fac ca imaginea să arate impecabil  Recomand cu încredere,1
161,Il recomand    este foarte bun si foarte util  are un pret un pic cam mare in pret de  lista   dar cand il prinzi la  promotie e super pretul    Felicitari  si echipei Altex   foarte multumit de  profesionalismul lor!,1
162,Zonele greu accesibile il pun in dificultate  E bun dar se putea si mai bine   Acest review a fost postat initial pe site-ul Philips,1
163,"Un laptop care își merita banii pentru ceea ce oferă  Finisaje calitative și rezistente  nu se încălzește precum modelul de 13"" (2020)  este foarte  foarte silențios  tastatura iluminata și plăcuta și la atingere  bateria tine cam 8-9h  asta și in funcție de modul in care îl folosești  Per total sunt foarte mulțumit de alegerea făcuta",1
164,Bun   ,1
165,Când apare în magazin?,1
166,Cel mai bun volan de gaming de la Myria pentru buget!,1
167,Super elegant dar si performant! Tot ce imi doream sunt multumita!,1
168,L-am comandat acum  sper sa fie ok scaunul,1
169,Am achizitionat acest fier de calcat saptamana trecuta si sunt multumita de el  isi face treaba foarte bine  Raportul calitate-pret este unul foarte bun,1
170,Am cumparat produsul pentru ca mi l-a recomandat medicul pentru copilul nostru  Din pacate  are probleme cu alergiile si pentru ca nu dormea mai mult de doua ore legate  ne-a recomandat sa luam un produs de genul acesta  Il folosesc de anul trecut si pot spune ca dupa aproximativ o luna  a inceput sa doarma mai bine si s-au ameliorat toate problemele respiratorii  Pentru noi este minunat si il recomandam! Acest review a fost postat initial pe site-ul Philips,1
171,foarte bun  recomand,1
172,Usor de folosit si de calitate  îmi pare rău că nu am achizitionată mai demult   recomand  cu încredere    ,1
